LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,0,-0.003397,0.010736,-0.007338,0,0,0,-0.006585,0.011285,-0.0047,0
0,0,-0.006795,0.021471,-0.014677,0,0,0,-0.01317,0.02257,-0.0094,0
0,0,-0.010192,0.032207,-0.022015,0,0,0,-0.019754,0.033855,-0.014101,0
0,0,-0.013589,0.042942,-0.029353,0,0,0,-0.026339,0.04514,-0.018801,0
0,0,-0.016987,0.053678,-0.036692,0,0,0,-0.032924,0.056425,-0.023501,0
0,0,-0.020384,0.064414,-0.04403,0,0,0,-0.039509,0.06771,-0.028201,0
0,0,-0.023781,0.075149,-0.051368,0,0,0,-0.046094,0.078995,-0.032901,0
0,0,-0.027178,0.085885,-0.058706,0,0,0,-0.052678,0.09028,-0.037602,0
0,0,-0.030576,0.09662,-0.066045,0,0,0,-0.059263,0.101565,-0.042302,0
0,0,-0.033973,0.107356,-0.073383,0,0,0,-0.065848,0.11285,-0.047002,0
0,0,-0.03737,0.118092,-0.080721,0,0,0,-0.072433,0.124135,-0.051702,0
0,0,-0.040768,0.128827,-0.08806,0,0,0,-0.079017,0.13542,-0.056402,0
0,0,-0.044165,0.139563,-0.095398,0,0,0,-0.085602,0.146705,-0.061103,0
0,0,-0.047562,0.150298,-0.102736,0,0,0,-0.092187,0.15799,-0.065803,0
0,0,-0.05096,0.161034,-0.110075,0,0,0,-0.098772,0.169275,-0.070503,0
0,0,-0.054357,0.17177,-0.117413,0,0,0,-0.105357,0.18056,-0.075203,0
0,0,-0.057754,0.182505,-0.124751,0,0,0,-0.111941,0.191845,-0.079903,0
0,0,-0.061151,0.193241,-0.132089,0,0,0,-0.118526,0.20313,-0.084604,0
0,0,-0.064549,0.203976,-0.139428,0,0,0,-0.125111,0.214415,-0.089304,0
0,0,-0.067946,0.214712,-0.146766,0,0,0,-0.131696,0.2257,-0.094004,0
